source_name,master_name,plant_count,year,urls,
Aftaab Solar Private Limited (ASPL),,1,,http://www.cdmindia.gov.in/project_details_view.php?id=1511,
Agencia de Regulacion y Control de Electricidad,,16,,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,
Agencia de Regulacion y Control de Electricidad,,1,,http://www.power-technology.com/projects/coca-codo-sinclair-hydroelectric-project/,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef73,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef38,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef79,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef97,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef101,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef72,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef84,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef75,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef66,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef83,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef94,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef58,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef93,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef92,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef69,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef47,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef55,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef96,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef40,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef43,
All Island Project,,1,,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef95,
Alpiq Group,,2,,http://www.alpiq.com/alpiq-group/our-assets/thermal-power-plants/gas-fired-combined-cycle-power-plants/combined-cycle-power-plants.jsp,
Alpiq Group,,1,,http://www.alpiq.com/alpiq-group/our-assets/thermal-power-plants/coal-fired-power-plants/kladno-thermal-power-station.jsp,
Alstom,,1,,https://web.archive.org/web/20140827071316/http://www.bhidi.com/news_view.asp?id=404,
Alstom,,1,,http://www.alstom.com/press-centre/2010/10/Alstom-signs-contract-with-Iraqi-government/,
Alstom,,1,,http://alstomenergy.gepower.com/Global/Power/Resources/Documents/Brochures/al-mansurya-iraq-gt13e2-open-cycle-power-plant.pdf,
Alstom,,1,,http://www.alstom.com/press-centre/2013/1/alstom-will-service-and-upgrade-bang-bo-gas-fired-power-plant-in-thailand/,
Alstom,,1,,http://news.frbiz.com/liyuan_hydropower_project_in-342698.html,
Aluminum Bahrain,,1,,http://www.albasmelter.com/Range/OProducts/Pages/Power.aspx,
Ambed K Sugar,,1,,http://www.ambedkarsugar.com/solar_power.php,
Ambuja Cements ltd,,2,,AMBUJA CEMENTS LTD,
Amrit Energy Private Limited,,1,,http://www.rrecl.com/PDF/Details%0Rajasthan.pdf,
Ansaldo Energia,,1,,http://ansaldoenergia.it/easyUp/file/pgs.pdf,
Ansaldo Energia,,1,,http://www.ansaldoenergia.it/easyUp/file/anno2012_numero2(1).pdf,
Antarctica Australia,,1,,http://www.antarctica.gov.au/__data/assets/pdf_file/0007/21949/ml_385474997916667_atcm28_att067_rev1_e.pdf,
Antaris Solar,,2,,http://www.antaris-solar.com,
AR AMD Renewable Energy,,2,,http://ae-amd.co.za/portfolio/,
Arab Union of Electricity,,87,,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,
Arab Union of Electricity,,27,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&sqi=2&ved=0ahUKEwi_xP3Co7PQAhXH7SYKHWDVCxQQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=FaVNwaTMbtVIKuotQfNLwQ&bvm=bv.139250283 d.eWE,
Arab Union of Electricity,,20,,http://www.auptde.org/PublicationsFile.aspx?lang=en&CID=855,
Arab Union of Electricity,,7,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjK2LCH27rQAhWi4IMKHaveBssQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=4btV4UcwDLWqm3YlUx2keg&bvm=bv.139250283 d.eWE,
Arab Union of Electricity,,2,,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=285,
Arab Union of Electricity,,2,,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=284,
Arab Union of Electricity,,2,,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=287,
Arab Union of Electricity,,2,,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=286,
Arab Union of Electricity,,1,,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=291,
Arab Union of Electricity,,1,,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=290,
Arab Union of Electricity,,1,,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=292,
Arab Union of Electricity,,1,,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=280,
Arab Union of Electricity,,1,,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=282,
Arab Union of Electricity,,1,,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=289,
Arab Union of Electricity,,1,,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=288,
Aravali Infrapower Private Limited (AIPL),,1,,http://www.aipl.in,
Armenia Ministry of Energy and Natural Resources,,3,,http://www.minenergy.am/en/page/533,
Armenia Ministry of Energy and Natural Resources,,2,,http://www.minenergy.am/en/page/531,
Armenia Ministry of Energy and Natural Resources,,1,,http://www.minenergy.am/en/page/534,
Armenia Ministry of Energy and Natural Resources,,1,,http://www.minenergy.am/en/page/532,
Ashok Ssk ltd,,1,,ASHOK SSK LTD,
Asian Development Bank,,14,,http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf,
Asian Development Bank,,1,,http://www.adb.org/sites/default/files/projdocs/2002/hebei_zhanghewan.pdf,
Association for the Study of the Cuban Economy,,1,,http://www.ascecuba.org/c/wp-content/uploads/2014/09/v18-cereijo.pdf,
Association of Carbon Italy,,5,,http://www.assocarboni.it/index.php/en/the-coal/coal-plants-in-italy,
Association of Carbon Italy,,1,,https://web.archive.org/web/20140409012424/http://www.eon-italia.com/en/business/generation/power-plants/fiume-santo.html,
Astana Energo Service OAO,,1,,http://www.aes.kz/node/2102,
Astonfield Management Limited,,1,,http://astonfield.com,
Astroenergy Development,,1,,http://www.astronergydevelopment.com/projects1.asp?parid=11&classid=21,
Astronergy,,1,,http://www.astronergy.com/projects_plants.php###,
Astronergy,,1,,http://www.astronergy.com/projects_plants.php,
Atryau Heat and Power Station JSC,,1,,http://www.ahps.kz/en/about-the-company/,
Australian Renewable Energy Mapping Infrastructure,,419,2012,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,
Australian Renewable Energy Mapping Infrastructure,,419,2013,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,
Australian Renewable Energy Mapping Infrastructure,,419,2016,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,
Australian Renewable Energy Mapping Infrastructure,,419,,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,
Australian Renewable Energy Mapping Infrastructure,,419,2014,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,
Aviation Benefits,,1,,http://aviationbenefits.org/media/100145/aviation-climate-solutions_web-52-53.pdf,
Axpo,,2,,http://www.axpo.com/axpo/it/en/knowledge/power-production/assets-in-italy.html,
AzerEnerji,,14,,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,
Azure Power (Rajasthan) Private Limited,,2,,http://www.azurepower.com,
B Grimm,,4,,http://www.bgrimmpower.com/power-plants/power-plants-in-operation/,
Backbone Enterprises Limited,,1,,http://www.backboneworld.com,
Baike,,1,,http://baike.baidu.com/view/1972763.htm,
Baike,,1,,http://baike.baidu.com/view/4630553.htm,
Baike,,1,,http://baike.baidu.com/view/4269744.htm,
Baike,,1,,http://baike.baidu.com/subview/4606506/4606506.htm,
Baike,,1,,http://baike.baidu.com/view/1237237.htm,
Baike,,1,,http://baike.baidu.com/view/1113141.htm,
Baike,,1,,http://baike.baidu.com/view/1162078.htm,
Baike,,1,,http://baike.baidu.com/view/1244447.htm,
Baike,,1,,http://baike.baidu.com/subview/10536518/10723674.htm,
Baike,,1,,http://www.baike.com/wiki/%E6%B2%99%E5%9D%A1%E5%A4%B4%E6%B0%B4%E5%88%A9%E6%9E%A2%E7%BA%BD,
Baike,,1,,http://baike.baidu.com/view/677790.htm,
Baike,,1,,http://baike.baidu.com/view/632240.htm,
Baike,,1,,http://baike.baidu.com/view/439118.htm,
Baike,,1,,http://baike.baidu.com/view/159096.htm,
Baike,,1,,http://baike.baidu.com/view/439111.htm,
Baike,,1,,http://baike.baidu.com/view/1114944.htm,
Baike,,1,,http://baike.baidu.com/view/439122.htm,
Baike,,1,,http://baike.baidu.com/view/2476357.htm,
Baike,,1,,http://baike.baidu.com/view/4316433.htm,
Baike,,1,,http://baike.baidu.com/view/656801.htm,
Baike,,1,,http://www.baike.com/wiki/%E5%96%9C%E6%B2%B3%E6%B0%B4%E7%94%B5%E7%AB%99,
Baike,,1,,http://www.baike.com/wiki/%E5%B9%B3%E7%8F%AD%E6%B0%B4%E7%94%B5%E7%AB%99&prd=so_1_doc,
Baike,,1,,http://baike.baidu.com/view/1107324.htm,
Baike,,1,,http://baike.baidu.com/view/1050095.htm,
Baike,,1,,http://baike.baidu.com/view/4016426.htm,
Ballarpur Industries ltd,,2,,BALLARPUR INDUSTRIES LTD,
Bangchak Solar Energy Company Limited (BSE),,2,,http://www.bangchak.co.th,
Bangkok Solar Power,,16,,http://www.bangkoksolarpower.com/en/reference_project,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=136,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=151,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=152,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=179,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=130,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=157,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=135,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=159,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=134,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=139,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=153,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=144,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=195,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=197,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=190,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=192,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=216,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=131,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=199,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=204,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=207,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=228,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=226,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=224,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=225,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=208,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=209,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=220,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=221,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=143,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=141,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=148,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=146,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=145,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=236,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=164,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=149,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=166,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=161,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=185,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=163,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=120,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=238,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=184,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=182,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=188,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=217,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=230,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=232,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=213,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=234,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=210,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=129,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=125,
Bangladesh Power Development Board,,1,,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=218,
Bannari Sugars ltd,,1,,BANNARI AMMAN SUGARS LTD,
Barrick,,2,,http://www.barrick.com/operations/papua-new-guinea/porgera/,
Bashkir,,3,,http://bgkrb.ru/eng/activities/index.php,
Bay Solar AG,,1,,http://www.bayenergy.net,
BBC,,1,,http://www.bbc.com/news/world-middle-east-22093992,
Bejing International,,1,,http://www.ebeijing.gov.cn/Government/reports/t923621.htm,
Bejing News,,1,,http://www.bjrd.gov.cn/xwzx_1/xwkx/yfly/201508/t20150810_152354.html,
Belectric,,12,,http://www.belectric.com,
Belectric,,6,,http://www.belectric.com/en/solar-power-plants/projects/,
Belectric GmbH,,2,,http://www.belectric.com,
Bharat Corp ltd,,1,,BHARAT PETROCHEMICALS CORP LTD,
Bharat Corp ltd,,1,,BHARAT PETROLEUM CORP LTD,
Bharat Refinery ltd,,1,,BHARAT OMAN REFINERY LTD,
Binani Industries ltd,,1,,BINANI INDUSTRIES LTD,
Bioenergiepark Saerbeck,,1,,http://www.fs-sun.com,
Biosar,,2,,http://en.biosar.gr/article.asp?catid=31183&subid=2&pubid=15361306,
Biosar,,1,,http://en.biosar.gr/article.asp?catid=31187&subid=2&pubid=15361425,
Biosar,,1,,http://en.biosar.gr/article.asp?catid=31183&subid=2&pubid=15361310,
Biosar,,1,,http://en.biosar.gr/article.asp?catid=31186&subid=2&pubid=15361420,
Biosar,,1,,http://en.biosar.gr/2012/arthro/award_of_2_00_mwp_pv_project_in_pyrgos-15361553/,
Biosar,,1,,http://en.biosar.gr/article.asp?catid=31187&subid=2&pubid=15361429,
Biosar,,1,,http://en.biosar.gr/article.asp?catid=31185&subid=2&pubid=15361400,
Biosar,,1,,http://en.biosar.gr/article.asp?catid=31185&subid=2&pubid=15361411,
Biosar,,1,,http://en.biosar.gr/article.asp?catid=31185&subid=2&pubid=15361404,
Biosar,,1,,http://en.biosar.gr/article.asp?catid=31188&subid=2&pubid=15361431,
Biosar,,1,,http://en.biosar.gr/article.asp?catid=31183&subid=2&pubid=15361325,
BioTherm Energy,,1,,http://www.biothermenergy.com/content/dassiesklip-project,
BioTherm Energy,,1,,http://www.biothermenergy.com/blog/aries-solar-pv,
Birla Corp ltd,,2,,BIRLA CORP LTD,
Bloomberg,,1,,http://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=145529335,
Bmm Pvt ltd,,1,,BMM ISPAT PVT LTD,
Bundesnetzagentur,,40,,https://www.bundesnetzagentur.de/DE/Sachgebiete/ElektrizitaetundGas/Unternehmen_Institutionen/Versorgungssicherheit/Erzeugungskapazitaeten/Kraftwerksliste/kraftwerksliste-node.html,
Bureau of Ministry  Energy  and Economic Affairs,,20,,https://web3.moeaboe.gov.tw/ECW/english/content/SubMenu.aspx?menu_id=1537,
Bureau of Ministry  Energy  and Economic Affairs,,1,,http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1571,
Bureau of Ministry  Energy  and Economic Affairs,,1,,http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1550,
Bureau of Ministry  Energy  and Economic Affairs,,1,,http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1578,
Bureau of Ministry  Energy  and Economic Affairs,,1,,http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1559,
Bureau of Ministry  Energy  and Economic Affairs,,1,,http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1583,
Bureau of Ministry  Energy  and Economic Affairs,,1,,http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1581,
Bureau of Ministry  Energy  and Economic Affairs,,1,,http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1577,
Bureau of Ministry  Energy  and Economic Affairs,,1,,http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1580,
Bureau of Ministry  Energy  and Economic Affairs,,1,,http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1548,
Bureau of Ministry  Energy  and Economic Affairs,,1,,http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1567,
Business Wire,,1,,http://www.businesswire.com/news/home/20080604005168/en/GE-Supports-Industrial-Growth-Italy-Gas-Turbine,
BWSC,,1,,http://www.bwsc.com/Rabai-Power-Plant--Kenya.aspx?ID=208,
Canadian Power Plant Database,,29,,http://www.cbc.ca/news2/interactives/database-cdnpowerplants/?appSession=37157089528396396394056638291117802843348425060575648208153793135366829336033758248443548607051384464831349653596564231536607108,
Carpe Vigo,,1,,http://www.carpevigo.de,
Carpe Vigo,,1,,http://www.carpevigo.de/de/projekte-in-italien/menue-id-230.html,
Carpevigo AG,Carpe Vigo,6,,http://www.carpevigo.de,
Castle Peak Power Company Limited (CAPCO),,1,,https://www.clp.com.hk,
CDM,,9,,https://cdm.unfccc.int/Projects/projsearch.html,
CDM,,5,,https://cdm.unfccc.int/Projects/DB/Korean%20Standards%20Association1347947889.52/view,
CDM,,4,,https://cdm.unfccc.int/Projects/DB/Korean%20Standards%20Association1346907381.12/view,
CDM,,4,,https://cdm.unfccc.int/Projects/DB/Korean%20Standards%20Association1347523657.85/view,
CDM,,3,,https://cdm.unfccc.int/Projects/DB/Korean%20Standards%20Association1346370686.91/view,
CDM,,3,,https://cdm.unfccc.int/filestorage/D/O/R/DORZF791H8K4NWACPQ5IMTUYLG2VXE/CDM_PDD_v6.pdf?t=WGN8b2sxbDRnfDDF8h6MT3w9DKjkxFa903Mt,
CDM,,3,,https://cdm.unfccc.int/Projects/DB/BVQI1351312018.91/view,
CDM,,3,,https://cdm.unfccc.int/filestorage/v/4/4LG0VIF9CY6BO3NXR8A7K1UEW5PMQT.pdf/PDD%20ver04.pdf?t=eUd8b2o5eHdrfDB70Pkmm7dEJv3K0-5RTZ4C,
CDM,,2,,http://cdm.unfccc.int/filestorage/9/L/Z/9LZKV42CT5DENPFM1HJS6XOB7R0GQY/PDD.pdf?t=ZXZ8b2o5aHgxfDCZGyLGdlGcmt8AfnzIrWHB,
CDM,,2,,https://cdm.unfccc.int/Projects/DB/KBS_Cert1356901324.44/view,
CDM,,2,,http://cdm-en.ccchina.gov.cn/newitemall0.aspx?page=3,
