primary_country_name,geo_country_name,carma_country_name
Taiwan,Republic of China Taiwan,Taiwan
Tajikistan,Tajikistan,Tajikistan
Tanzania,United Republic of Tanzania,Tanzania
Thailand,Thailand,Thailand
Timor-Leste,Timor-Leste,Timor-Leste
Togo,Togo,Togo
Tonga,Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia,Tunisia
Turkey,Turkey,Turkey
Turkmenistan,Turkmenistan,Turkmenistan
Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands
Uganda,Uganda,Uganda
Ukraine,Ukraine,Ukraine
United Arab Emirates,United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom,United Kingdom
United States of America,United States of America,United States
Uruguay,Uruguay,Uruguay
Uzbekistan,Uzbekistan,Uzbekistan
Vanuatu,Vanuatu,Vanuatu
Venezuela,Venezuela,Venezuela
Vietnam,Viet Nam,Vietnam
Western Sahara,Western Sahara,Western Sahara
Yemen,Yemen,Yemen
Zambia,Zambia,Zambia
Zimbabwe,Zimbabwe,Zimbabwe
