Reporting Entity,Facility Name,Type,Electricity Production (GJ),Greenhouse Gas Emissions Scope 1 (t CO2-e),Greenhouse Gas Emissions Scope 2 (t CO2-e),Total Emissions  (t CO2-e),Important Notes
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Wagerup Generation Facility,F,"110,192","17,539","4,764","22,303",N/A
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Anglesea Power Station,F,"3,944,437","1,206,338","1,383","1,207,721",N/A
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Corporate Total,C,"4,054,629","1,223,877","6,147","1,230,024",N/A
ALINTA COGENERATION (PINJARRA) PTY LTD,Alinta Pinjarra Generation Facility,F,"4,876,436","1,175,037",230,"1,175,267",N/A
ALINTA COGENERATION (PINJARRA) PTY LTD,Corporate Total,C,"4,876,436","1,175,037",230,"1,175,267",N/A
ALINTA ENERGY FINANCE PTY LTD,Augusta Power Stations,F,"8,055,030","2,260,207","12,626","2,272,833",N/A
ALINTA ENERGY FINANCE PTY LTD,Bairnsdale Power Station,F,"476,844","69,457","1,051","70,508",N/A
ALINTA ENERGY FINANCE PTY LTD,Braemar Power Station,F,"5,576,875","883,799","1,922","885,721",N/A
ALINTA ENERGY FINANCE PTY LTD,Newman Power Station,F,"2,043,843","371,178",0,"371,178",N/A
ALINTA ENERGY FINANCE PTY LTD,Port Hedland Power Station,F,"1,409,710","318,337",0,"318,337",N/A
ALINTA ENERGY FINANCE PTY LTD,Corporate Total,C,"17,562,302","3,902,978","15,599","3,918,577",N/A
APT PIPELINES LIMITED,Emu Downs Wind Farm,F,"815,272",450,445,895,N/A
APT PIPELINES LIMITED,Corporate Total,C,"815,272",450,445,895,N/A
ARROW (GENERATION) PTY. LTD.,Daandine Power Station,F,"763,236","111,371",10,"111,381",N/A
ARROW (GENERATION) PTY. LTD.,Corporate Total,C,"763,236","111,371",10,"111,381",N/A
ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,"3,613,063","593,961","3,492","597,453",N/A
ARROW ENERGY HOLDINGS PTY LTD,Corporate Total,C,"3,613,063","593,961","3,492","597,453",N/A
ATCO AUSTRALIA PTY. LTD.,Bulwer Island Energy Partnership facility,F,"655,880","134,200","78,677","212,877",N/A
ATCO AUSTRALIA PTY. LTD.,Karratha Power Station,F,"1,776,637","275,973",18,"275,991",N/A
ATCO AUSTRALIA PTY. LTD.,Osborne facility,F,"4,862,174","679,024",268,"679,292",N/A
ATCO AUSTRALIA PTY. LTD.,Corporate Total,C,"7,294,691","1,089,197","78,963","1,168,160",N/A
AURORA ENERGY PTY LTD,Alfred Hospital Cogeneration Plant,F,"37,059","15,310",570,"15,880",N/A
AURORA ENERGY PTY LTD,Dandenong Hospital Cogeneration Plant,F,"26,336","12,822",429,"13,251",N/A
AURORA ENERGY PTY LTD,Geelong Hospital Cogeneration Plant,F,"35,219","13,340",619,"13,959",N/A
AURORA ENERGY PTY LTD,Royal Melbourne Hospital Cogeneration Plant,F,"87,795","27,759","1,107","28,866",N/A
AURORA ENERGY PTY LTD,ST. Vincent's Hospital Cogeneration Plant,F,"33,376","14,400",520,"14,920",N/A
AURORA ENERGY PTY LTD,Corporate Total,C,"219,785","83,631","3,245","86,876",N/A
AUSGRID,Renewable Generators,FA,"2,143",0,0,0,N/A
AUSGRID,Corporate Total,C,"2,143",0,0,0,N/A
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Belmont Administration & Kalamunda Facility,FA,12,20,9,29,N/A
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Canning Vale Facility,F,"10,269",151,4,155,N/A
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Red Hill Facility,F,"99,070","1,378",1,"1,379",N/A
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Tamala Park Facility,F,"129,618","1,804",2,"1,806",N/A
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,Corporate Total,C,"238,969","3,353",16,"3,369",N/A
AXIA ENERGY AUSTRALIA PTY LTD,Smithfield Power Partnership,F,"3,603,699","481,427",0,"481,427",N/A
AXIA ENERGY AUSTRALIA PTY LTD,Corporate Total,C,"3,603,699","481,427",0,"481,427",N/A
BG INTERNATIONAL (AUS) INVESTMENTS PTY LIMITED,Condamine Power Station,F,"2,063,387","260,403","3,113","263,516",N/A
BG INTERNATIONAL (AUS) INVESTMENTS PTY LIMITED,Corporate Total,C,"2,063,387","260,403","3,113","263,516",N/A
BLUEWATERS POWER 1 PTY LTD,Bluewaters Power 1,F,"5,310,078","1,249,039","3,733","1,252,772",N/A
BLUEWATERS POWER 1 PTY LTD,Corporate Total,C,"5,310,078","1,249,039","3,733","1,252,772",N/A
BLUEWATERS POWER 2 PTY LTD,Bluewaters Power 2,F,"5,499,172","1,358,067","1,787","1,359,854",N/A
BLUEWATERS POWER 2 PTY LTD,Corporate Total,C,"5,499,172","1,358,067","1,787","1,359,854",N/A
C S ENERGY LIMITED,Callide A Power Station,F,"422,714","146,106","59,408","205,514",N/A
C S ENERGY LIMITED,Callide B Power Station,F,"14,016,615","3,523,338","73,897","3,597,235",N/A
C S ENERGY LIMITED,Callide C Power Station,F,"16,508,131","4,132,681","24,305","4,156,986",Please note that in some circumstances Joint Venture partners are required to report a full amount for each facility they have in a Joint Venture. This results in that facility appearing twice.
C S ENERGY LIMITED,Kogan Creek Power Station,F,"20,506,738","4,653,420","3,648","4,657,068",N/A
C S ENERGY LIMITED,Wivenhoe Power Station,F,"83,511",393,"46,932","47,325",N/A
C S ENERGY LIMITED,Corporate Total,C,"51,537,709","12,455,938","208,190","12,664,128",N/A
CANUNDA POWER PTY LTD,Canunda Wind Farm,F,"431,639",18,152,170,N/A
CANUNDA POWER PTY LTD,Corporate Total,C,"431,639",18,152,170,N/A
CONTRACT POWER AUSTRALIA PTY LTD,FMG Cloud Break Mine Site Power Station,F,"481,434","80,677",0,"80,677",N/A
CONTRACT POWER AUSTRALIA PTY LTD,Norseman Gold Power Station,F,"100,279","19,280",0,"19,280",N/A
CONTRACT POWER AUSTRALIA PTY LTD,Corporate Total,C,"581,713","99,957",0,"99,957",N/A
CWF HOLDINGS PTY LTD,Collgar Wind Farm,F,"2,180,019",231,760,991,N/A
CWF HOLDINGS PTY LTD,Corporate Total,C,"2,180,019",231,760,991,N/A
DELTA ELECTRICITY,Chichester mini-hydro PS,F,464,0,1,1,N/A
DELTA ELECTRICITY,Colongra PS,F,"69,023","12,585","6,970","19,555",N/A
DELTA ELECTRICITY,Dungog mini-hydro PS,F,141,0,2,2,N/A
DELTA ELECTRICITY,Mt Piper Power Station,F,"32,799,771","7,856,088","15,192","7,871,280",N/A
DELTA ELECTRICITY,Vales Point Power Station,F,"27,093,990","6,586,051","41,526","6,627,577",N/A
DELTA ELECTRICITY,Wallerawang Power Station,F,"16,948,059","4,071,707","75,273","4,146,980",N/A
DELTA ELECTRICITY,Corporate Total,C,"76,911,448","18,526,431","138,964","18,665,395",N/A
ECOGEN HOLDINGS PTY LTD,Jeeralang Power Station,F,"87,934","20,071","6,777","26,848",N/A
ECOGEN HOLDINGS PTY LTD,Newport Power Station,F,"667,242","96,797","18,407","115,204",N/A
ECOGEN HOLDINGS PTY LTD,Corporate Total,C,"755,176","116,868","25,184","142,052",N/A
ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Albany Wind Farm,F,"322,543",10,13,23,N/A
ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Bremer Bay Wind Diesel System,FA,"4,112",19,3,22,N/A
ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Cockburn Power Station,F,"1,787,847","196,930",0,"196,930",N/A
ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Collie Power Station,F,"8,503,465","2,090,821","5,120","2,095,941",N/A
ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Coral Bay Wind Diesel System,FA,"11,801","1,447",0,"1,447",N/A
ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Denham Wind Farm,F,"7,363",0,1,1,N/A
ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Esperance Wind Farm,F,"51,960",0,10,10,N/A
ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Geraldton Gas Turbine Station,F,551,207,0,207,N/A
ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Hopetoun Wind Diesel System,FA,"19,082","2,571",0,"2,571",N/A
ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Kalbarri Photovoltaic,F,77,0,4,4,N/A
ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Kalbarri Wind Farm,F,"16,732",0,12,12,N/A
ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Kalgoorlie Gas Turbine Station,F,"14,274","3,764",0,"3,764",N/A
ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Kwinana Power Station,F,"4,312,128","884,179","1,629","885,808",N/A
ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Muja Power Station,F,"16,488,131","4,205,231","1,932","4,207,163",N/A
ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Mungarra Gas Turbine Station,F,"482,082","115,110",0,"115,110",N/A
ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Pinjar Gas Turbine Station,F,"2,258,392","509,777",0,"509,777",N/A
ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,South West Cogeneration Joint Venture,F,"3,602,733","627,525",49,"627,574",N/A
ELECTRICITY GENERATION CORPORATION T/A VERVE ENERGY,Corporate Total,C,"37,883,273","8,637,591","8,773","8,646,364",N/A
ELECTRICITY NETWORKS CORPORATION,Ravensthorpe Power Station,F,"6,172","1,220",0,"1,220",N/A
ELECTRICITY NETWORKS CORPORATION,Corporate Total,C,"6,172","1,220",0,"1,220",N/A
ENERGEX LIMITED,Energy Impact - Bromelton Peak Generation Plant,F,"10,518","2,038",460,"2,498",N/A
ENERGEX LIMITED,Energy Impact - Generation,F,"2,802",543,0,543,N/A
ENERGEX LIMITED,Energy Impact - Molendinar Landfill,F,"2,456",48,15,63,N/A
ENERGEX LIMITED,Energy impact - Stayplton Landfill,F,"18,784",318,11,329,N/A
ENERGEX LIMITED,Energy impact - Suntown Landfill,F,"13,265",672,67,739,N/A
ENERGEX LIMITED,Corporate Total,C,"47,825","3,619",553,"4,172",N/A
ENERGY DEVELOPMENTS LIMITED,Appin CSM Power Station,F,"737,296","164,652",152,"164,804",N/A
ENERGY DEVELOPMENTS LIMITED,Ardyaloon Remote Power Station,F,"6,305","1,259",0,"1,259",N/A
ENERGY DEVELOPMENTS LIMITED,Beagle Bay Remote Power Station,F,"6,014","1,188",0,"1,188",N/A
ENERGY DEVELOPMENTS LIMITED,Berwick LFG Power Station,F,"118,845","1,890",819,"2,709",N/A
ENERGY DEVELOPMENTS LIMITED,Bidyadanga Remote Power Staiton,F,"10,248","2,078",0,"2,078",N/A
ENERGY DEVELOPMENTS LIMITED,Broadmeadows LFG Power Station,F,"90,835","1,446",33,"1,479",N/A
ENERGY DEVELOPMENTS LIMITED,Brooklyn LFG Power Station,F,"72,824","1,160",976,"2,136",N/A
ENERGY DEVELOPMENTS LIMITED,Broome LNG Power Station,F,"517,550","89,126",27,"89,153",N/A
ENERGY DEVELOPMENTS LIMITED,Browns Plains LFG Power Station,F,"51,212",814,18,832,N/A
ENERGY DEVELOPMENTS LIMITED,Clayton LFG Power Station,F,"304,148","4,824",27,"4,851",N/A
ENERGY DEVELOPMENTS LIMITED,Coober Pedy Remote Power Station,F,"48,063","9,015",0,"9,015",N/A
ENERGY DEVELOPMENTS LIMITED,Cue Remote Power Station,F,"7,749","1,524",0,"1,524",N/A
ENERGY DEVELOPMENTS LIMITED,Derby LNG Power Station,F,"138,188","15,676",0,"15,676",N/A
ENERGY DEVELOPMENTS LIMITED,Djarandjin Remote Power Station,F,"6,296","1,269",0,"1,269",N/A
ENERGY DEVELOPMENTS LIMITED,Eastern Creek LFG Power Station,F,"74,038","1,204",0,"1,204",N/A
ENERGY DEVELOPMENTS LIMITED,EDL LFG (NSW),FA,"55,093",945,0,945,N/A
ENERGY DEVELOPMENTS LIMITED,EDL LFG (QLD),FA,"8,345",135,7,142,N/A
ENERGY DEVELOPMENTS LIMITED,EDL LFG (SA),FA,"13,581",220,39,259,N/A
ENERGY DEVELOPMENTS LIMITED,EDL LFG (VIC),FA,"26,132",421,6,427,N/A
ENERGY DEVELOPMENTS LIMITED,EDL NGD (QLD),FA,"40,682","7,854",0,"7,854",N/A
ENERGY DEVELOPMENTS LIMITED,EDL NGD (WA),FA,"10,263","1,982",0,"1,982",N/A
ENERGY DEVELOPMENTS LIMITED,Fitzroy Crossing LNG Power Station,F,"54,174","7,056",0,"7,056",N/A
ENERGY DEVELOPMENTS LIMITED,Gascoyne Junction Remote Power Station,F,"2,744",597,0,597,N/A
ENERGY DEVELOPMENTS LIMITED,German Creek CMM Power Station,F,"894,078","142,501",0,"142,501",N/A
ENERGY DEVELOPMENTS LIMITED,Halls Creek LNG Power Station,F,"43,521","5,590",24,"5,614",N/A
ENERGY DEVELOPMENTS LIMITED,Jacks Gully LFG Power Station,F,"59,095",959,0,959,N/A
ENERGY DEVELOPMENTS LIMITED,Karumba Power Station,F,"60,366","11,710",8,"11,718",N/A
ENERGY DEVELOPMENTS LIMITED,Laverton Remote Power Station,F,"17,000","3,293",0,"3,293",N/A
ENERGY DEVELOPMENTS LIMITED,Leonora Remote Power Station,F,"42,183","8,235",0,"8,235",N/A
ENERGY DEVELOPMENTS LIMITED,Lucas Heights 1 LFG Power Station,F,"113,023","1,802",0,"1,802",N/A
ENERGY DEVELOPMENTS LIMITED,Lucas Heights 2 LFG Power Station,F,"339,132","5,531",2,"5,533",N/A
ENERGY DEVELOPMENTS LIMITED,McArthur River Power Station,F,"575,760","117,266",0,"117,266",N/A
ENERGY DEVELOPMENTS LIMITED,Meekatharra Remote Power Station,F,"27,763","5,553",0,"5,553",N/A
ENERGY DEVELOPMENTS LIMITED,Menzies Remote Power Station,F,"2,704",565,0,565,N/A
ENERGY DEVELOPMENTS LIMITED,Moranbah North CMM Power Station,F,"1,158,669","181,935",34,"181,969",N/A
ENERGY DEVELOPMENTS LIMITED,Mt Magnet Remote Power Station,F,"16,878","3,236",0,"3,236",N/A
ENERGY DEVELOPMENTS LIMITED,Mugga Lane LFG Power Station,F,"91,277","1,445",0,"1,445",N/A
ENERGY DEVELOPMENTS LIMITED,Pedler Creek LFG Power Station,F,"63,753","1,011",10,"1,021",N/A
ENERGY DEVELOPMENTS LIMITED,Pine Creek A Power Station,F,"571,672","83,363",21,"83,384",N/A
ENERGY DEVELOPMENTS LIMITED,Sandstone Remote Power Station,F,"2,814",597,0,597,N/A
ENERGY DEVELOPMENTS LIMITED,Springvale LFG Power Station,F,"71,412","1,138",6,"1,144",N/A
ENERGY DEVELOPMENTS LIMITED,Tower CSM Power Station,F,"754,275","149,825",84,"149,909",N/A
ENERGY DEVELOPMENTS LIMITED,West Belconnen LFG Power Station,F,"16,669",264,0,264,N/A
ENERGY DEVELOPMENTS LIMITED,Wiluna Remote Power Station,F,"10,603","2,101",0,"2,101",N/A
ENERGY DEVELOPMENTS LIMITED,Wingfield 1 LFG Power Station,F,"67,969","1,079",50,"1,129",N/A
ENERGY DEVELOPMENTS LIMITED,Wingfield 2 LFG Power Station,F,"62,038",984,2,986,N/A
ENERGY DEVELOPMENTS LIMITED,Yalgoo Remote Power Station,F,"3,739",778,0,778,N/A
ENERGY DEVELOPMENTS LIMITED,Yarmun Remote Power Station,F,"10,812","2,182",0,"2,182",N/A
ENERGY DEVELOPMENTS LIMITED,Corporate Total,C,"7,477,830","1,049,278","2,345","1,051,623",N/A
ENERGYAUSTRALIA HOLDINGS LTD,Cathedral Rocks Wind Farm,F,"639,410",56,143,199,N/A
ENERGYAUSTRALIA HOLDINGS LTD,Hallett Power Station,F,"211,749","59,924","2,736","62,660",N/A
ENERGYAUSTRALIA HOLDINGS LTD,Tallawarra Power Station,F,"10,224,211","1,017,214",727,"1,017,941",N/A
ENERGYAUSTRALIA HOLDINGS LTD,Waterloo Wind Farm,F,"1,131,173",163,212,375,N/A
ENERGYAUSTRALIA HOLDINGS LTD,Yallourn Power Station,F,"30,012,768","11,144,252","188,260","11,332,512",N/A
ENERGYAUSTRALIA HOLDINGS LTD,Corporate Total,C,"42,219,311","12,221,609","192,078","12,413,687",N/A
ENVIROGEN PTY LTD,Glennies Creek Power Station,F,"292,713","44,302",3,"44,305",N/A
ENVIROGEN PTY LTD,Oaky Creek Power Station,F,"387,384","57,907",7,"57,914",N/A
ENVIROGEN PTY LTD,Tahmoor Power Station,F,"107,117","15,730",62,"15,792",N/A
ENVIROGEN PTY LTD,Teralba Power Station,F,"78,348","11,871",3,"11,874",N/A
ENVIROGEN PTY LTD,Corporate Total,C,"865,562","129,810",75,"129,885",N/A
ERARING ENERGY,Blayney Wind Farm,F,"56,742",4,40,44,N/A
ERARING ENERGY,Brown Mountain,F,"35,998",3,8,11,N/A
ERARING ENERGY,Burrinjuck Power Station,F,"309,344",0,99,99,N/A
ERARING ENERGY,Crookwell Wind Farm,F,"24,751",1,28,29,N/A
ERARING ENERGY,Hume Power Station,F,"860,218",0,132,132,N/A
ERARING ENERGY,Corporate Total,C,"1,287,053",8,307,315,N/A
ERM POWER LIMITED,Newgen Neerabup Power Station,F,"130,719","23,063","1,919","24,982",N/A
ERM POWER LIMITED,Oakey Power Station,F,"98,811","24,641","2,386","27,027",N/A
ERM POWER LIMITED,Corporate Total,C,"229,530","47,704","4,305","52,009",N/A
ESPERANCE POWER STATION PTY LTD,Esperance Power Station,F,"276,213","64,147",0,"64,147",N/A
ESPERANCE POWER STATION PTY LTD,Corporate Total,C,"276,213","64,147",0,"64,147",N/A
ESSENTIAL ENERGY,Essential Energy Generation Facilities,FA,"24,859",262,199,461,N/A
ESSENTIAL ENERGY,Corporate Total,C,"24,859",262,199,461,N/A
FPC 30 LIMITED,FPC Green Energy,F,"430,502","3,988","1,841","5,829",N/A
FPC 30 LIMITED,Corporate Total,C,"430,502","3,988","1,841","5,829",N/A
GOLDFIELDS POWER PTY LTD,Parkeston Power Station,F,"835,012","135,707",0,"135,707",N/A
GOLDFIELDS POWER PTY LTD,Corporate Total,C,"835,012","135,707",0,"135,707",N/A
HRL LIMITED,Energy Brix Australia Corporation,F,"564,541","460,190","60,024","520,214",N/A
HRL LIMITED,Corporate Total,C,"564,541","460,190","60,024","520,214",N/A
HYDRO POWER PTY. LIMITED,Wyangala A,F,"304,583",0,0,0,N/A
HYDRO POWER PTY. LIMITED,Wyangala B,F,"32,348",0,0,0,N/A
HYDRO POWER PTY. LIMITED,Corporate Total,C,"336,931",0,0,0,N/A
HYDRO-ELECTRIC CORPORATION,Bastyan Hydro Power Station,F,"1,165,240",0,162,162,N/A
HYDRO-ELECTRIC CORPORATION,Butlers Gorge Hydro Power Station,F,"366,728",0,0,0,N/A
HYDRO-ELECTRIC CORPORATION,Catagunya Hydro Power Station,F,"801,082",0,22,22,N/A
HYDRO-ELECTRIC CORPORATION,Cethana Hydro Power Station,F,"1,246,611",0,89,89,N/A
HYDRO-ELECTRIC CORPORATION,Cluny Hydro Power Station,F,"276,596",0,9,9,N/A
HYDRO-ELECTRIC CORPORATION,Devils Gate Hydro Power Station,F,"892,133",0,38,38,N/A
HYDRO-ELECTRIC CORPORATION,Fisher Hydro Power Station,F,"740,528",0,45,45,N/A
HYDRO-ELECTRIC CORPORATION,Flinders Island Power Station,F,"13,591","2,672",6,"2,678",N/A
HYDRO-ELECTRIC CORPORATION,Gordon Hydro Power Station,F,"6,578,774",0,40,40,N/A
HYDRO-ELECTRIC CORPORATION,John Butters Hydro Power Station,F,"2,114,547",0,375,375,N/A
HYDRO-ELECTRIC CORPORATION,King Island Power Station,F,"45,323","5,617",6,"5,623",N/A
HYDRO-ELECTRIC CORPORATION,Lake Echo Hydro Power Station,F,"359,340",0,26,26,N/A
HYDRO-ELECTRIC CORPORATION,Lake Margaret Lower Hydro Power station,F,"59,278",0,1,1,N/A
HYDRO-ELECTRIC CORPORATION,Lake Margaret Upper Hydro Power Station,F,"136,332",0,7,7,N/A
HYDRO-ELECTRIC CORPORATION,Lemonthyme Hydro Power Station,F,"901,219",0,59,59,N/A
HYDRO-ELECTRIC CORPORATION,Liapootah Hydro Power Station,F,"1,579,732",0,683,683,N/A
HYDRO-ELECTRIC CORPORATION,Mackintosh Hydro Power Station,F,"1,131,296",0,174,174,N/A
HYDRO-ELECTRIC CORPORATION,Meadowbank Hydro Power Station,F,"583,156",0,28,28,N/A
HYDRO-ELECTRIC CORPORATION,Musselroe Wind Farm,F,"31,449","1,690",412,"2,102",N/A
HYDRO-ELECTRIC CORPORATION,Paloona Hydro Power Station,F,"393,909",0,47,47,N/A
HYDRO-ELECTRIC CORPORATION,Parangana Hydro Power Station,F,"14,650",0,0,0,N/A
HYDRO-ELECTRIC CORPORATION,Poatina Hydro Power Station,F,"7,764,859",0,"1,028","1,028",N/A
HYDRO-ELECTRIC CORPORATION,Reece Hydro Power Station,F,"2,971,052",0,"1,734","1,734",N/A
HYDRO-ELECTRIC CORPORATION,Repulse Hydro Power Station,F,"509,041",0,13,13,N/A
HYDRO-ELECTRIC CORPORATION,Rowallan Hydro Power Station,F,"140,239",0,9,9,N/A
HYDRO-ELECTRIC CORPORATION,Tamar Valley Power Station,F,"6,070,940","692,304",857,"693,161",N/A
HYDRO-ELECTRIC CORPORATION,Tarraleah Hydro Power Station,F,"2,243,398",0,130,130,N/A
HYDRO-ELECTRIC CORPORATION,Trevallyn Hydro Power Station,F,"1,884,455",0,39,39,N/A
HYDRO-ELECTRIC CORPORATION,Tribute Hydro Power Station,F,"694,605",0,64,64,N/A
HYDRO-ELECTRIC CORPORATION,Tungatinah Hydro Power Station,F,"1,903,945",0,232,232,N/A
HYDRO-ELECTRIC CORPORATION,Wayatinah Hydro Power Station,F,"916,857",0,27,27,N/A
HYDRO-ELECTRIC CORPORATION,Wilmot Hydro Power Station,F,"389,430",0,73,73,N/A
HYDRO-ELECTRIC CORPORATION,Corporate Total,C,"44,920,335","702,283","6,435","708,718",N/A
IFM RENEWABLE ENERGY PTY LTD,Challicum Hills Wind Farm,F,"492,121",27,0,27,N/A
IFM RENEWABLE ENERGY PTY LTD,Clements Gap Wind Farm,F,"608,449",12,0,12,N/A
IFM RENEWABLE ENERGY PTY LTD,Eildon Pondage Hydro,F,"66,707",5,0,5,N/A
IFM RENEWABLE ENERGY PTY LTD,Glenmaggie Hydro,F,"28,746",5,0,5,N/A
IFM RENEWABLE ENERGY PTY LTD,Ord Hydro,F,"796,805",18,0,18,N/A
IFM RENEWABLE ENERGY PTY LTD,Portland Wind Farms,F,"1,186,822",20,0,20,N/A
IFM RENEWABLE ENERGY PTY LTD,The Drop Hydro,F,"27,572",5,0,5,N/A
IFM RENEWABLE ENERGY PTY LTD,William Hovell Hydro,F,"14,259",5,0,5,N/A
IFM RENEWABLE ENERGY PTY LTD,Yambuk Wind Farm,F,"325,053",24,0,24,N/A
IFM RENEWABLE ENERGY PTY LTD,Corporate Total,C,"3,546,534",121,0,121,N/A
INFIGEN ENERGY LIMITED,Alinta Wind Farm,F,"1,178,276",68,601,669,N/A
INFIGEN ENERGY LIMITED,Capital Wind Farm,F,"1,274,685",131,609,740,N/A
INFIGEN ENERGY LIMITED,"Lake Bonney Stage 1,2 & 3 Wind Farm",F,"2,424,891",95,"1,048","1,143",N/A
INFIGEN ENERGY LIMITED,Woodlawn Wind Farm,F,"539,419",22,230,252,N/A
INFIGEN ENERGY LIMITED,Corporate Total,C,"5,417,271",316,"2,488","2,804",N/A
IPM (KWINANA) PTY LTD,Kwinana Cogeneration Plant,F,"2,922,642","427,595","4,856","432,451",N/A
IPM (KWINANA) PTY LTD,Corporate Total,C,"2,922,642","427,595","4,856","432,451",N/A
