Reporting Entity ,Facility Name,Type,Electricity Production (GJ),Greenhouse Gas Emissions Scope 1 (t-CO2-e),Greenhouse Gas Emissions Scope 2 (t-CO2-e),Greenhouse Gas Emissions Total Emissions (t-CO2-e),Important notes
ARROW ENERGY HOLDINGS PTY LTD,Corporate Total,C,"4,450,259","738,117","2,431","740,548",N/A
ATCO AUSTRALIA PTY. LTD.,Bulwer Island Energy Partnership facility,F,"722,135","126,919","57,794","184,713",N/A
ATCO AUSTRALIA PTY. LTD.,Karratha Power Station,F,"1,607,543","255,161",27,"255,188",N/A
ATCO AUSTRALIA PTY. LTD.,Osborne facility,F,"5,240,191","607,902",446,"608,348",N/A
ATCO AUSTRALIA PTY. LTD.,Corporate Total,C,"7,569,869","989,982","58,267","1,048,249",N/A
AURORA ENERGY PTY LTD,Alfred Hospital Cogeneration Plant,F,"15,351","4,176",151,"4,327",N/A
AURORA ENERGY PTY LTD,Dandenong Hospital Cogeneration Plant,F,"15,611","3,044",100,"3,144",N/A
AURORA ENERGY PTY LTD,Geelong Hospital Cogeneration Plant,F,"15,617","3,133",144,"3,277",N/A
AURORA ENERGY PTY LTD,Royal Melbourne Hospital Cogeneration Plant,F,"32,530","6,702",257,"6,959",N/A
AURORA ENERGY PTY LTD,ST. Vincent's Hospital Cogeneration Plant,F,"15,689","3,599",136,"3,735",N/A
AURORA ENERGY PTY LTD,Corporate Total,C,"94,798","20,654",788,"21,442",N/A
AUSGRID,Renewable Generators,FA,"1,596",0,0,0,N/A
AUSGRID,Corporate Total,C,"1,596",0,0,0,N/A
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Belmont Administration & Kalamunda Facility,FA,18,22,23,45,N/A
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Canning Vale Facility,F,"8,140",121,26,147,N/A
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Red Hill Facility,F,"104,409","1,436",2,"1,438",N/A
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Tamala Park Facility,F,"120,796","1,666",2,"1,668",N/A
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,Corporate Total,C,"233,363","3,245",53,"3,298",N/A
AXIA ENERGY AUSTRALIA PTY LTD,Smithfield Power Partnership,F,"3,560,754","480,237",0,"480,237",N/A
AXIA ENERGY AUSTRALIA PTY LTD,Corporate Total,C,"3,560,754","480,237",0,"480,237",N/A
BG INTERNATIONAL (AUS) INVESTMENTS PTY LIMITED,Condamine Power Station,F,"2,224,523","275,211","1,425","276,636",N/A
BG INTERNATIONAL (AUS) INVESTMENTS PTY LIMITED,Corporate Total,C,"2,224,523","275,211","1,425","276,636",N/A
BLUEWATERS POWER 1 PTY LTD,Bluewaters Power 1,F,"5,337,204","1,298,437","4,138","1,302,575",N/A
BLUEWATERS POWER 1 PTY LTD,Corporate Total,C,"5,337,204","1,298,437","4,138","1,302,575",N/A
BLUEWATERS POWER 2 PTY LTD,Bluewaters Power 2,F,"5,612,266","1,302,864","1,045","1,303,909",N/A
BLUEWATERS POWER 2 PTY LTD,Corporate Total,C,"5,612,266","1,302,864","1,045","1,303,909",N/A
C S ENERGY LIMITED,Callide A Power Station,F,"409,187","141,934","56,845","198,779",N/A
C S ENERGY LIMITED,Callide B Power Station,F,"10,106,903","2,631,316","40,116","2,671,432",N/A
C S ENERGY LIMITED,Callide C Power Station,F,"11,169,718","2,886,053","22,084","2,908,137",Please note that in some circumstances Joint Venture partners are required to report a full amount for each facility they have in a Joint Venture. This results in that facility appearing twice.
C S ENERGY LIMITED,Kogan Creek Power Station,F,"19,052,266","4,282,360","3,551","4,285,911",N/A
C S ENERGY LIMITED,Wivenhoe Power Station,F,"49,481",23,"45,642","45,665",N/A
C S ENERGY LIMITED,Corporate Total,C,"40,787,555","9,941,686","168,238","10,109,924",N/A
CANUNDA POWER PTY LTD,Canunda Wind Farm,F,"471,574",17,139,156,N/A
CANUNDA POWER PTY LTD,Corporate Total,C,"471,574",17,139,156,N/A
CAPE BYRON MANAGEMENT PTY LTD,Broadwater Power Plant,F,"172,312","1,033","1,486","2,519",N/A
CAPE BYRON MANAGEMENT PTY LTD,Condong Power Plant,F,"73,710",525,"1,164","1,689",N/A
CAPE BYRON MANAGEMENT PTY LTD,Corporate Total,C,"246,022","1,558","2,650","4,208",N/A
CONTRACT POWER AUSTRALIA PTY LTD,FMG Cloud Break Mine Site Power Station,F,"508,497","93,694",0,"93,694",N/A
CONTRACT POWER AUSTRALIA PTY LTD,Norseman Gold Power Station,F,"58,820","11,673",0,"11,673",N/A
CONTRACT POWER AUSTRALIA PTY LTD,Corporate Total,C,"567,317","105,367",0,"105,367",N/A
CWF HOLDINGS PTY LTD,Collgar Wind Farm,F,"2,507,946",213,914,"1,127",N/A
CWF HOLDINGS PTY LTD,Corporate Total,C,"2,507,946",213,914,"1,127",N/A
DELTA ELECTRICITY,Chichester mini-hydro PS,F,702,0,0,0,N/A
DELTA ELECTRICITY,Colongra PS,F,"49,826","8,796","6,907","15,703",N/A
DELTA ELECTRICITY,Dungog mini-hydro PS,F,24,0,2,2,N/A
DELTA ELECTRICITY,Mt Piper Power Station,F,"6,773,852","1,587,906","1,542","1,589,448",N/A
DELTA ELECTRICITY,Vales Point Power Station,F,"24,531,572","5,661,311","39,237","5,700,548",N/A
DELTA ELECTRICITY,Wallerawang Power Station,F,"3,978,670","963,061","7,151","970,212",N/A
DELTA ELECTRICITY,Corporate Total,C,"35,334,646","8,221,074","54,839","8,275,913",N/A
DIAMANTINA HOLDING COMPANY PTY LIMITED,Diamintina Power Station,F,"909,276","160,330",315,"160,645",N/A
DIAMANTINA HOLDING COMPANY PTY LIMITED,Corporate Total,C,"909,276","160,330",315,"160,645",N/A
ECOGEN HOLDINGS PTY LTD,Jeeralang Power Station,F,"103,349","24,442","7,527","31,969",N/A
ECOGEN HOLDINGS PTY LTD,Newport Power Station,F,"788,965","114,846","22,619","137,465",N/A
ECOGEN HOLDINGS PTY LTD,Corporate Total,C,"892,314","139,288","30,146","169,434",N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Albany Wind Farm,F,"369,514",10,7,17,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Bremer Bay Wind Diesel System,FA,"6,464",80,2,82,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Cockburn Power Station,F,"4,040,873","441,903",0,"441,903",N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Collie Power Station,F,"7,041,333","1,760,197","4,271","1,764,468",N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Coral Bay Wind Diesel System,FA,"11,602","1,563",0,"1,563",N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Denham Wind Farm,F,"7,883",0,1,1,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Esperance Wind Farm,F,"57,543",0,7,7,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Geraldton Gas Turbine Station,F,303,106,0,106,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Hopetoun Wind Diesel System,FA,"19,515","2,510",0,"2,510",N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalbarri Photovoltaic,F,82,0,4,4,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalbarri Wind Farm,F,"13,436",0,8,8,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalgoorlie Gas Turbine Station,F,"5,647","1,498",0,"1,498",N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kwinana Power Station,F,"3,483,949","595,192",790,"595,982",N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Muja Power Station,F,"17,340,696","4,535,573","1,983","4,537,556",N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Mungarra Gas Turbine Station,F,"352,802","87,497",0,"87,497",N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Pinjar Gas Turbine Station,F,"1,611,464","358,050",0,"358,050",N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,South West Cogeneration Joint Venture,F,"3,386,294","593,107",60,"593,167",N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Corporate Total,C,"37,749,400","8,377,286","7,133","8,384,419",N/A
ELECTRICITY NETWORKS CORPORATION,Ravensthorpe Power Station,F,"1,496",295,0,295,N/A
ELECTRICITY NETWORKS CORPORATION,Corporate Total,C,"1,496",295,0,295,N/A
ENERGEX LIMITED,Energy Impact - Bromelton Peak Generation Plant,F,"4,716",982,447,"1,429",N/A
ENERGEX LIMITED,Energy Impact - Generation,F,"2,689",521,0,521,N/A
ENERGEX LIMITED,Corporate Total,C,"7,405","1,503",447,"1,950",N/A
ENERGY DEVELOPMENTS LIMITED,Appin CSM Power Station,F,"857,860","185,531",65,"185,596",N/A
ENERGY DEVELOPMENTS LIMITED,Ardyaloon Remote Power Station,F,"6,447","1,254",0,"1,254",N/A
ENERGY DEVELOPMENTS LIMITED,Beagle Bay Remote Power Station,F,"5,824","1,158",0,"1,158",N/A
ENERGY DEVELOPMENTS LIMITED,Berwick LFG Power Station,F,"108,753","1,512",951,"2,463",N/A
ENERGY DEVELOPMENTS LIMITED,Bidyadanga Remote Power Staiton,F,"10,773","2,163",0,"2,163",N/A
ENERGY DEVELOPMENTS LIMITED,Broadmeadows LFG Power Station,F,"84,072","1,171",13,"1,184",N/A
ENERGY DEVELOPMENTS LIMITED,Brooklyn LFG Power Station,F,"70,164",980,1,981,N/A
ENERGY DEVELOPMENTS LIMITED,Broome LNG Power Station,F,"505,352","83,011",29,"83,040",N/A
ENERGY DEVELOPMENTS LIMITED,Browns Plains LFG Power Station,F,"49,311",802,4,806,N/A
ENERGY DEVELOPMENTS LIMITED,Clayton LFG Power Station,F,"282,631","3,907",170,"4,077",N/A
ENERGY DEVELOPMENTS LIMITED,Coober Pedy Remote Power Station,F,"43,550","8,522",0,"8,522",N/A
ENERGY DEVELOPMENTS LIMITED,Cue Remote Power Station,F,"8,006","1,512",0,"1,512",N/A
ENERGY DEVELOPMENTS LIMITED,Derby LNG Power Station,F,"137,066","20,201",0,"20,201",N/A
ENERGY DEVELOPMENTS LIMITED,Djarandjin Remote Power Station,F,"6,431","1,281",0,"1,281",N/A
ENERGY DEVELOPMENTS LIMITED,Eastern Creek LFG Power Station,F,"65,070",966,1,967,N/A
ENERGY DEVELOPMENTS LIMITED,EDL LFG (NSW),FA,"49,223",750,9,759,N/A
ENERGY DEVELOPMENTS LIMITED,EDL LFG (QLD),FA,"6,584",103,40,143,N/A
ENERGY DEVELOPMENTS LIMITED,EDL LFG (SA),FA,"12,662",173,12,185,N/A
ENERGY DEVELOPMENTS LIMITED,EDL LFG (VIC),FA,"29,611",409,6,415,N/A
ENERGY DEVELOPMENTS LIMITED,EDL NGD (QLD),FA,"12,289","2,373",0,"2,373",N/A
ENERGY DEVELOPMENTS LIMITED,EDL NGD (WA),FA,"10,049","2,199",0,"2,199",N/A
ENERGY DEVELOPMENTS LIMITED,Fitzroy Crossing LNG Power Station,F,"52,369","8,156",0,"8,156",N/A
ENERGY DEVELOPMENTS LIMITED,Gascoyne Junction Remote Power Station,F,"2,780",598,0,598,N/A
ENERGY DEVELOPMENTS LIMITED,German Creek CMM Power Station,F,"1,100,188","165,037",0,"165,037",N/A
ENERGY DEVELOPMENTS LIMITED,Glennies Creek Power Station,F,"299,247","49,014",2,"49,016",N/A
ENERGY DEVELOPMENTS LIMITED,Halls Creek LNG Power Station,F,"41,491","6,363",0,"6,363",N/A
ENERGY DEVELOPMENTS LIMITED,Jacks Gully LFG Power Station,F,"57,521",926,2,928,N/A
ENERGY DEVELOPMENTS LIMITED,Karumba Power Station,F,"58,601","11,562",9,"11,571",N/A
ENERGY DEVELOPMENTS LIMITED,Laverton Remote Power Station,F,"12,769","2,497",0,"2,497",N/A
ENERGY DEVELOPMENTS LIMITED,Leonora Remote Power Station,F,"35,399","7,152",0,"7,152",N/A
ENERGY DEVELOPMENTS LIMITED,Lucas Heights 1 LFG Power Station,F,"84,018","1,180",3,"1,183",N/A
ENERGY DEVELOPMENTS LIMITED,Lucas Heights 2 LFG Power Station,F,"368,194","5,989",3,"5,992",N/A
ENERGY DEVELOPMENTS LIMITED,McArthur River Power Station,F,"646,576","110,181",0,"110,181",N/A
ENERGY DEVELOPMENTS LIMITED,Meekatharra Remote Power Station,F,"28,356","5,702",0,"5,702",N/A
ENERGY DEVELOPMENTS LIMITED,Menzies Remote Power Station,F,"2,649",549,0,549,N/A
ENERGY DEVELOPMENTS LIMITED,Moranbah North CMM Power Station,F,"1,143,368","179,745",0,"179,745",N/A
ENERGY DEVELOPMENTS LIMITED,Mt Magnet Remote Power Station,F,"16,167","3,008",0,"3,008",N/A
ENERGY DEVELOPMENTS LIMITED,Mugga Lane LFG Power Station,F,"86,055","1,395",1,"1,396",N/A
ENERGY DEVELOPMENTS LIMITED,Oaky Creek Power Station,F,"324,925","51,904",6,"51,910",N/A
ENERGY DEVELOPMENTS LIMITED,Pedler Creek LFG Power Station,F,"69,384",957,1,958,N/A
ENERGY DEVELOPMENTS LIMITED,Pine Creek A Power Station,F,"623,042","91,022",0,"91,022",N/A
ENERGY DEVELOPMENTS LIMITED,Sandstone Remote Power Station,F,"2,261",492,0,492,N/A
ENERGY DEVELOPMENTS LIMITED,Springvale LFG Power Station,F,"69,968",977,5,982,N/A
ENERGY DEVELOPMENTS LIMITED,Tahmoor Power Station,F,"123,355","22,031",40,"22,071",N/A
ENERGY DEVELOPMENTS LIMITED,Teralba Power Station,F,"65,636","11,797",4,"11,801",N/A
ENERGY DEVELOPMENTS LIMITED,Tower CSM Power Station,F,"882,224","170,566",4,"170,570",N/A
ENERGY DEVELOPMENTS LIMITED,West Belconnen LFG Power Station,F,"13,986",226,21,247,N/A
ENERGY DEVELOPMENTS LIMITED,Wiluna Remote Power Station,F,"9,894","2,087",0,"2,087",N/A
ENERGY DEVELOPMENTS LIMITED,Wingfield 1 LFG Power Station,F,"62,052",856,11,867,N/A
ENERGY DEVELOPMENTS LIMITED,Wingfield 2 LFG Power Station,F,"64,716",893,1,894,N/A
ENERGY DEVELOPMENTS LIMITED,Yalgoo Remote Power Station,F,"3,847",811,0,811,N/A
ENERGY DEVELOPMENTS LIMITED,Yarmun Remote Power Station,F,"10,105","2,035",0,"2,035",N/A
ENERGY DEVELOPMENTS LIMITED,Corporate Total,C,"8,722,871","1,235,686","1,414","1,237,100",N/A
ENERGY WORLD CORPORATION LTD,Brewer Power Station,F,"157,539","27,892",23,"27,915",N/A
ENERGY WORLD CORPORATION LTD,Corporate Total,C,"157,539","27,892",23,"27,915",N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Cathedral Rocks Wind Farm,F,"715,588",57,123,180,N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Hallett Power Station,F,"122,209","33,387","2,929","36,316",N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Mt Piper Power Station,F,"27,195,978","6,252,622","16,205","6,268,827",N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Tallawarra Power Station,F,"11,820,631","1,165,142",603,"1,165,745",N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Wallerawang Power Station,F,"7,467,464","1,730,892","30,994","1,761,886",N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Waterloo Wind Farm,F,"1,229,935",86,169,255,N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Yallourn Power Station,F,"31,243,248","11,340,380","162,475","11,502,855",N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Corporate Total,C,"79,795,053","20,522,566","213,498","20,736,064",N/A
ERM POWER LIMITED,Newgen Neerabup Power Station,F,"282,525","48,521","3,062","51,583",N/A
ERM POWER LIMITED,Oakey Power Station,F,"207,866","44,445","2,367","46,812",N/A
ERM POWER LIMITED,Corporate Total,C,"490,391","92,966","5,429","98,395",N/A
ESPERANCE POWER STATION PTY LTD,Esperance Power Station,F,"274,842","59,812",0,"59,812",N/A
ESPERANCE POWER STATION PTY LTD,Corporate Total,C,"274,842","59,812",0,"59,812",N/A
ESSENTIAL ENERGY,Essential Energy Generation Facilities,FA,"2,105",661,335,996,N/A
ESSENTIAL ENERGY,Corporate Total,C,"2,105",661,335,996,N/A
FPC 30 LIMITED,FPC Green Energy,F,"406,545","3,770","1,469","5,239",N/A
FPC 30 LIMITED,Corporate Total,C,"406,545","3,770","1,469","5,239",N/A
GOLDFIELDS POWER PTY LTD,Parkeston Power Station,F,"866,686","139,902",0,"139,902",N/A
GOLDFIELDS POWER PTY LTD,Corporate Total,C,"866,686","139,902",0,"139,902",N/A
GREEN STATE POWER PTY LTD,Blayney Wind Farm,F,"65,569",7,47,54,N/A
GREEN STATE POWER PTY LTD,Brown Mountain Power Station,F,"45,017",8,20,28,N/A
GREEN STATE POWER PTY LTD,Burrinjuck Power Station,F,"147,657",12,150,162,N/A
GREEN STATE POWER PTY LTD,Crookwell Wind Farm,F,"65,569",0,31,31,N/A
GREEN STATE POWER PTY LTD,Hume Power Station  NSW,F,"845,172",22,259,281,N/A
GREEN STATE POWER PTY LTD,Hume Power Station Victoria,F,37,0,0,0,N/A
GREEN STATE POWER PTY LTD,Keepit Power Station,F,"23,508",6,31,37,N/A
GREEN STATE POWER PTY LTD,Corporate Total,C,"1,192,529",55,538,593,N/A
HRL LIMITED,Energy Brix Australia Corporation,F,"380,164","340,160","49,197","389,357",N/A
HRL LIMITED,Corporate Total,C,"380,164","340,160","49,197","389,357",N/A
HYDRO POWER PTY. LIMITED,Wyangala A,F,"152,832",0,0,0,N/A
HYDRO POWER PTY. LIMITED,Corporate Total,C,"152,832",0,0,0,N/A
HYDRO-ELECTRIC CORPORATION,Bastyan Hydro Power Station,F,"1,508,095",0,47,47,N/A
HYDRO-ELECTRIC CORPORATION,Butlers Gorge Hydro Power Station,F,"236,041",0,0,0,N/A
HYDRO-ELECTRIC CORPORATION,Catagunya Hydro Power Station,F,"952,308",0,19,19,N/A
HYDRO-ELECTRIC CORPORATION,Cethana Hydro Power Station,F,"1,643,976",0,66,66,N/A
HYDRO-ELECTRIC CORPORATION,Cluny Hydro Power Station,F,"338,904",0,7,7,N/A
HYDRO-ELECTRIC CORPORATION,Devils Gate Hydro Power Station,F,"1,149,916",0,25,25,N/A
HYDRO-ELECTRIC CORPORATION,Fisher Hydro Power Station,F,"870,593",0,0,0,N/A
HYDRO-ELECTRIC CORPORATION,Flinders Island Power Station,F,"13,841","2,551",4,"2,555",N/A
HYDRO-ELECTRIC CORPORATION,Gordon Hydro Power Station,F,"9,861,508",0,35,35,N/A
HYDRO-ELECTRIC CORPORATION,John Butters Hydro Power Station,F,"2,291,092",0,134,134,N/A
HYDRO-ELECTRIC CORPORATION,King Island Power Station,F,"45,799","5,052",4,"5,056",N/A
HYDRO-ELECTRIC CORPORATION,Lake Echo Hydro Power Station,F,"334,823",0,13,13,N/A
HYDRO-ELECTRIC CORPORATION,Lake Margaret Lower Hydro Power station,F,"30,703",0,8,8,N/A
HYDRO-ELECTRIC CORPORATION,Lake Margaret Upper Hydro Power Station,F,"95,391",0,50,50,N/A
HYDRO-ELECTRIC CORPORATION,Lemonthyme Hydro Power Station,F,"1,096,364",0,48,48,N/A
HYDRO-ELECTRIC CORPORATION,Liapootah Hydro Power Station,F,"1,808,849",0,424,424,N/A
HYDRO-ELECTRIC CORPORATION,Mackintosh Hydro Power Station,F,"1,519,106",0,72,72,N/A
HYDRO-ELECTRIC CORPORATION,Meadowbank Hydro Power Station,F,"758,921",0,19,19,N/A
HYDRO-ELECTRIC CORPORATION,Musselroe Wind Farm,F,"514,262",34,2,36,N/A
HYDRO-ELECTRIC CORPORATION,Parangana Hydro Power Station,F,"17,208",0,0,0,N/A
HYDRO-ELECTRIC CORPORATION,Poatina Hydro Power Station,F,"5,287,998",0,"1,204","1,204",N/A
HYDRO-ELECTRIC CORPORATION,Reece Hydro Power Station,F,"4,086,534",0,996,996,N/A
HYDRO-ELECTRIC CORPORATION,Repulse Hydro Power Station,F,"608,916",0,11,11,N/A
HYDRO-ELECTRIC CORPORATION,Rowallan Hydro Power Station,F,"173,457",0,3,3,N/A
HYDRO-ELECTRIC CORPORATION,Tamar Valley Power Station,F,"3,137,849","363,623","1,212","364,835",N/A
HYDRO-ELECTRIC CORPORATION,Tarraleah Hydro Power Station,F,"2,072,195",0,92,92,N/A
HYDRO-ELECTRIC CORPORATION,Tods Corner Hydro Power Station,F,"31,932",0,2,2,N/A
HYDRO-ELECTRIC CORPORATION,Trevallyn Hydro Power Station,F,"1,930,210",0,24,24,N/A
HYDRO-ELECTRIC CORPORATION,Tribute Hydro Power Station,F,"930,969",0,60,60,N/A
HYDRO-ELECTRIC CORPORATION,Tungatinah Hydro Power Station,F,"2,388,446",0,188,188,N/A
HYDRO-ELECTRIC CORPORATION,Wayatinah Hydro Power Station,F,"924,087",0,25,25,N/A
HYDRO-ELECTRIC CORPORATION,Wilmot Hydro Power Station,F,"512,972",0,53,53,N/A
HYDRO-ELECTRIC CORPORATION,Corporate Total,C,"47,173,265","371,260","4,847","376,107",N/A
IFM RENEWABLE ENERGY PTY LTD,Challicum Hills Wind Farm,F,"548,625",29,0,29,N/A
IFM RENEWABLE ENERGY PTY LTD,Clements Gap Wind Farm,F,"656,001",32,0,32,N/A
IFM RENEWABLE ENERGY PTY LTD,Codrington Wind Farm,F,"161,201",8,0,8,N/A
IFM RENEWABLE ENERGY PTY LTD,Eildon Pondage Hydro,F,"43,452",0,0,0,N/A
IFM RENEWABLE ENERGY PTY LTD,Glenmaggie Hydro,F,"19,645",0,0,0,N/A
IFM RENEWABLE ENERGY PTY LTD,Ord Hydro,F,"739,558",16,0,16,N/A
IFM RENEWABLE ENERGY PTY LTD,Portland Wind Farms,F,"1,279,151",153,0,153,N/A
IFM RENEWABLE ENERGY PTY LTD,The Drop Hydro,F,"22,042",0,0,0,N/A
IFM RENEWABLE ENERGY PTY LTD,William Hovell Hydro,F,"17,430",0,0,0,N/A
