dukes_name,gppd_idnr,repd_name,capacity_mw,latitude,longitude,fuel1,owner,source,url,geolocation_source
Bonnyrigg,GBR0000747,,2.2,55.8865,-3.1255,Waste,Natural Power,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bootham Lane,GBR0000614,,1.2,53.5861,-1.0105,Waste,Waste Recycling Group,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bootham Lane Landfill,GBR0000743,,2.7,53.5897,-1.0089,Waste,Natural Power,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bootham Lane Phase 2,GBR0000630,,1.4,53.5861,-1.0105,Waste,Waste Recycling Group,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Boscombe Airfield,GBR0002345,,12.3,51.1514,-1.7379,Solar,Lark Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Boston Landfill Scheme,GBR0000752,,1.3,52.9522,0.005,Waste,Renewable Power Systems,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bottom Plain,GBR0001973,,10,50.7127,-2.1654,Solar,Inazin Energy/Low Carbon,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Boulfruich,GBR0003126,,13,58.2999,-3.4434,Wind,Mr and Mrs Hall,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Boundary Lane,GBR0003674,,6,54.8478,-1.9282,Wind,EDF (purchased from Wind Prospect Developments Ltd in 2012),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bourne Farm,GBR0006062,,2.4,50.7756,-2.3952,Solar,Farm Power Apollo,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bourne Park,GBR1000012,,0.2484,,,Solar,Anesco,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Bourne Park (Solar),GBR0002361,,5,50.7779,-2.3943,Solar,Sovereign Energy Partners LLP - Charles Houston -,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bourne Park 2,GBR1000011,,2.39972,,,Solar,Anesco,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Bourne Park AD (AD),GBR0000366,,1.1,50.7771,-2.3941,Biomass,Eco Sustainable Solutions,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bowbeat (Emly Bank),GBR1000116,,15.6,,,Wind,E.On UK,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Bowbeat (Roughside),GBR1000117,,15.6,,,Wind,E.On UK,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Bowbeat Wind Farm,GBR0003300,,31.2,55.7158,-3.1221,Wind,PowerGen and  Natural Power Consultants Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bowden Lane Solar Park,GBR1000060,,4.9896,,,Solar,British Solar Renewables,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Bowerhouse Farm,GBR0001518,,8.3,51.345,-2.8611,Solar,KWTN Solar,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bowmore,GBR1000412,,6,56.1833,-2.5667,Oil,Scottish and Southern: Island Generation,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,CARMA
Boxted Airfield,GBR0002143,,18.8,51.9431,0.9296,Solar,NextEnergy Solar Fund,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Boyndie Airfield,GBR0004671,,16.7,57.6653,-2.639,Wind,RDC Scotland Ltd/ Falck Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Boyndie Airfield Extension,GBR0002691,,2.3,57.6607,-2.6518,Wind,Boyndie Wind Farm,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brackagh Quarry,GBR1000328,,4.98,,,Wind,REG Windpower Ltd,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Bradenstoke Solar Park,GBR1000061,,69.7884,,,Solar,British Solar Renewables,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Bradford Solar Park,GBR0001158,,5.3,50.7807,-4.4415,Solar,Wessex Solar Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bradgate Quarry Landfill Gas Scheme,GBR0000531,,2.5,52.6727,-1.2428,Waste,Waste Recycling Group,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bradwell Wind Farm (Repower),GBR0003936,,20,51.7098,0.821,Wind,Npower Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Braes O'Doune,GBR0003119,,72,56.2698,-4.0589,Wind,Greencoat UK Wind,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Braes of Doune Wind Farm,GBR1000188,,72,,,Wind,Greencoat UK Wind,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Braevallich,GBR0000503,,2.2,56.2112,-5.2805,Hydro,INNOGY plc,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brafield on the Green Solar Park (England),GBR1000213,,4.90314,,,Solar,Lark Energy,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Braich Ddu,GBR1000329,,3.9,,,Wind,REG Windpower Ltd,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Braich Ddu,GBR0004022,,3.9,52.5951,-3.9576,Wind,REG Windpower (previously Cornwall Light and Power),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bransholme Solar CIC,GBR0005214,,5,53.8085,-0.3158,Solar,Renesola (community owned),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Branston solar park,GBR0002323,,18.9,53.1813,-0.4736,Solar,Inazin Energy Limited/Low Carbon,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bratton Fleming Solar Farm,GBR0001557,,5,51.1252,-3.9249,Solar,Wessex Solar Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Braydon Manor Farm,GBR0001974,,8.7,51.5885,-1.9362,Solar,Public Power Solutions,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brazier Landfill Scheme,GBR0000507,,3.9,51.8157,-0.056,Waste,Pioneer Aggregates (UK) Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bredbury Park Way - AD Stockport (Waste AD),GBR0000263,,2,53.4274,-2.1143,Biomass,Greater Manchester Waste Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brenkley Landfill,GBR0000704,,1.9,55.069,-1.6743,Waste,SITA UK / Natural Power,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bretby Power,GBR0000742,,1.6,52.7867,-1.5848,Waste,Natural Power,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Briar Solar Farm,GBR0005720,,1.9,52.6452,1.2582,Solar,NR16/ RenEnergy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brickyard Barn (resubmission),GBR0001519,,4.1,52.2506,-1.5558,Solar,Sun Glow Power,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brigg Renewable Energy Plant (Re-submission),GBR0000150,,40,53.5423,-0.5096,Biomass,Eco2,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bristol Port,GBR1000128,,6,,,Wind,Ecotricity,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Bristol STW (Waste AD),GBR0000232,,10,51.5128,-2.67,Biomass,GENeco,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
British Sugar - Bury,GBR0004877,,5,52.2543,0.727,Biomass,British Sugar,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Briton / Neath,GBR0000605,,2.2,51.6431,-3.8325,Waste,Natural Power,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Briton Ferry,GBR0000602,,2,51.6422,-3.831,Waste,Neath Port Talbot Waste Management Co Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Broadgate Solar Farm,GBR0001618,,1.1,50.8523,-3.7396,Solar,Lightsource Renewable Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brockaghboy Wind Farm,GBR0004249,,37.5,54.9806,-6.765,Wind,TCI Renewables/ERG Renew,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brockaghboy Wind Farm - extension,GBR0002888,,10,54.8991,-6.8692,Wind,TCI Renewables/ERG Renew,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brockholes Wind Cluster,GBR0002672,,2.4,55.8666,-2.2879,Wind,Mr J Prentice  Brockholes Farm,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brocklesby - Crosslands Lane,GBR0005722,,3.5,53.7782,-0.6639,Biomass,BioConstruct,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brogborough Phase III,GBR0000515,,11,52.0517,-0.5868,Waste,Waste Recycling Group,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brogborough Phase IV,GBR0000516,,11,52.0553,-0.5867,Waste,Waste Recycling Group,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bromborough Dock,GBR0000657,,3.7,53.348,-2.9806,Waste,Biffa,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bromborough Dock Landfill Scheme,GBR0000550,,3,53.3561,-2.9796,Waste,Biffa,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bronwylfa Reservoir,GBR0001520,,3,53.0318,-3.0594,Solar,Wrexham County Borough Council,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Broockhurst Wood,GBR0000656,,2,51.0892,-0.3522,Waste,Biffa,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brook Farm,GBR1000241,,8.91036,,,Solar,Lightsource,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Brook Hall Farm (resubmission),GBR0005926,,4.7,51.2802,-2.214,Solar,South West Solar Parks (Brook Hall Farm SPV),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brook hall,GBR1000013,,4.673,,,Solar,Anesco,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Brookfield Farm AD Plant (Farm AD),GBR0000228,,1.3,52.7752,-2.2312,Biomass,Mr. I. Critchley,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brookhurst Wood (Waste AD),GBR0000312,,4.5,51.1028,-0.3263,Biomass,Biffa/West Sussex County Council,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brookhurst Wood Gas to Energy,GBR0000584,,5.1,51.1023,-0.326,Waste,Biffa,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brooks Farm Solar Park,GBR0002307,,8,51.8539,-1.1318,Solar,Green Energy UK Direct Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brookside,GBR1000014,,4.997,,,Solar,Anesco,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Broom Hill Farm,GBR0002983,,8,54.7502,-1.7607,Wind,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Broomhill,GBR1000090,,8,,,Wind,Cumbria Wind,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Brotherton (formerly Paul Matthew Hill wind turbines),GBR0004411,,4.6,56.8147,-2.3718,Wind,Renewable Energy Ventures Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Broxted Solar Farm (Stradishall Airfield),GBR0001592,,31.6,52.1314,0.5172,Solar,Lark Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Broxted Solar Park,GBR1000080,,31.59,,,Solar,Cubico Sustainable Investments Limited,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Bruar Hydro Scheme,GBR0000478,,1.9,56.8315,-3.9299,Hydro,Bruar Hydro Ltd/ Gilkes,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bryn Du,GBR0003556,,16.4,52.4147,-3.707,Wind,Renewable Development Company Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bryn Pica AD / Tomorrow's Valley (Waste AD) - resubmission,GBR0000261,,1,51.7383,-3.436,Biomass,Ancala Bioenergy (formerly Biogen),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bryn titli Windfarm,GBR0003015,,9.9,52.3672,-3.5656,Wind,Innogy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bryn yr Odyn Solar Farm,GBR0002353,,15,53.2333,-4.4047,Solar,New Forest Energy Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brynpica Landfill Site,GBR0000665,,2.7,51.6579,-3.4832,Waste,NOVERA,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brynteg,GBR1000242,,14.78664,,,Solar,Lightsource,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Brynteg Farm,GBR0002363,,16.2,51.7128,-4.1781,Solar,Brynteg Solar,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Brynwhilach solar park,GBR0001975,,5,51.6866,-3.9582,Solar,Good Energy Generation,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bu Farm,GBR0004008,,2.7,59.0973,-2.6601,Wind,Longearth Ltd/ Farm Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bulls Head Farm North,GBR0001976,,4.7,52.1542,-0.8107,Solar,Anesco,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bumpers Farm Phase 1,GBR0002186,,5,51.7483,-0.8963,Solar,Solar Planning,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bunn's Hill Solar Park,GBR0005453,,5,52.7984,1.3979,Solar,Solar Century/ Bluefield Solar,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Burbo Bank,GBR0002487,,90,53.4882,-3.1849,Wind,Orsted (formerly Dong Energy),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Burbo Bank Extension (Burbo Bank 2),GBR0002539,,258,53.48,-3.27,Wind,Orsted (formerly Dong Energy),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Burcroft Solar Parks,GBR1000062,,12.669,,,Solar,British Solar Renewables,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Burgar Hill,GBR0003307,,5,59.1176,-3.1492,Wind,Orkney Sustainable Energy Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
"Burgar Hill (land Near), Evie",GBR0003408,,2.3,59.1176,-3.1492,Wind,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Burghfield,GBR1000441,,45,51.4563,-0.9711,Oil,Scottish and Southern: Thermal,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,CARMA
Burn of Whilk,GBR0004122,,22.5,58.3568,-3.2039,Wind,RWE npower,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Burnfoot Hill,GBR0002902,,26,56.2091,-3.7728,Wind,EDF Energies Nouvelles,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Burnfoot Hill Extension,GBR0004450,,4,56.2154,-3.7689,Wind,FAO Miss Sarah Dooley,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Burnhead,GBR0004125,,26,55.9121,-3.7748,Wind,Wind Prospect Developments/ EDF,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Burnhead Moss,GBR1000091,,26,,,Wind,Cumbria Wind,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Burnhills Landfill (L5),GBR0000705,,3.8,54.956,-1.7579,Waste,SITA UK,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Burnhills Landfill Scheme (L4),GBR0000702,,1.5,54.956,-1.7579,Waste,SITA UK,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Burnt House Farm,GBR0003686,,6,52.5373,-0.0337,Wind,Fivestone Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Burnthouse,GBR1000243,,4.76238,,,Solar,Lightsource,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Burnthouse Farm,GBR1000330,,6.21,,,Wind,REG Windpower Ltd,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Burntstalk Solar Park,GBR0001713,,11.5,52.6732,0.6271,Solar,Lightsource Renewable Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Burntstump Landfill Scheme,GBR0000532,,1.8,53.0441,-1.1289,Waste,Waste Recycling Group,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Burradale Hill,GBR0003310,,3.7,60.1648,-1.2361,Wind,Shetland Aerogenerators,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Burrowton Farm,GBR0001978,,5,50.7613,-3.4208,Solar,British Solar Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Burthy,GBR1000244,,13.08042,,,Solar,Lightsource,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Burthy Farm,GBR0001718,,10,50.3609,-4.9461,Solar,Elgin Energy EsCo,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Burton Farm,GBR0002157,,4.4,52.2135,-1.7372,Solar,Quercus Renewable Holding 2,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Burton Pedwardine Solar Farm Phase 2,GBR1000214,,4.23984,,,Solar,Lark Energy,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Burton Pidsea (Wadworth Hill) Wind Farm,GBR0003992,,10.2,53.7492,-0.1135,Wind,Aeolian Holderness Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Burton Wold Wind Farm - Northern Extension (resubmission),GBR0004210,,14.4,52.3616,-0.6518,Wind,John Laing Environmental,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Burton Wold Wind Farm South,GBR0005277,,7.5,52.3536,-0.6565,Wind,Infinergy/ Muirhall Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Burton Wold Windfarm,GBR0004672,,20,52.3608,-0.6431,Wind,Gravis Capital Management,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bury Green Farm Solar,GBR0006180,,5,52.4514,-0.137,Solar,Bury Green Farm Solar (Caledon Partners),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bury Lane,GBR1000245,,22.21587,,,Solar,Lightsource,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Bury Lane Fruit Farm,GBR0002372,,24,52.0796,0.002,Solar,Vortex (formerly Sun Edison),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Buslingthorpe Power Station (Leeds North),GBR0000026,,2,53.8143,-1.5426,Biomass,Living Power (REG Bio-Power),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Butchersfield Landfill Site,GBR0000577,,3,53.3977,-2.4842,Waste,NORWEB Generation Limited,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Butleigh Solar Park,GBR1000063,,4.9864,,,Solar,British Solar Renewables,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Buttermilk Farm,GBR0000238,,1.1,51.9469,-0.0487,Biomass,Hallwick Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Butterwick Moor,GBR0003218,,20.5,54.6636,-1.3969,Wind,E.On,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bygrave Lodge Farm Anaerobic Digestion Facility (Farm AD),GBR0000271,,2.3,52.0025,-0.1428,Biomass,Ancala Bioenergy (formerly Biogen),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bypass Nurseries Solar Farm,GBR0001890,,3.3,52.1024,-1.9201,Solar,Sun Spirit,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bystock Solar Farm,GBR0002112,,4.1,50.6473,-3.3825,Solar,Lightsource Renewable Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Bywaters  Materials Recovery Facility Solar Array,GBR0006320,,1,51.5221,-0.0069,Solar,Bywaters,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
CRAYSMARSH SOLAR FARM,GBR0001619,,1.8,51.3626,-2.0947,Solar,Mr Nick Boyle,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
CRINACOTT SOLAR FARM (Pyworthy),GBR0001094,,6.7,50.7904,-4.4014,Solar,Sunsave 4 Ltd/ Vogt Solar,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Caban Coch,GBR0004910,,1.1,,,Hydro,Dwr Cymru Welsh Water,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,
Caddington Solar Farm (Phase 1),GBR0001942,,3,51.86,-0.4633,Solar,Raybridge Corporation,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Caddington Solar Farm (Phase 2),GBR0004706,,5,51.8564,-0.4686,Solar,Emsrayne Limited,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Cadland 2,GBR1000015,,3.01602,,,Solar,Anesco,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Caeremlyn Solar Farm,GBR0001719,,18,51.8279,-4.6334,Solar,Munich RE,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
