FacilityReportID,PollutantReleaseAndTransferReportID,FacilityID,NationalID,ParentCompanyName,FacilityName,StreetName,BuildingNumber,City,PostalCode,CountryCode,CountryName,Lat,Long,RBDGeoCode,RBDGeoName,NUTSRegionGeoCode,NUTSRegionGeoName,RBDSourceCode,RBDSourceName,NUTSRegionSourceCode,NUTSRegionSourceName,NACEMainEconomicActivityCode,NACEMainEconomicActivityName,MainEconomicActivityNameSource,CompetentAuthorityName,CompetentAuthorityAddressStreetName,CompetentAuthorityAddressBuildingNumber,CompetentAuthorityAddressCity,CompetentAuthorityAddressPostalCode,CompetentAuthorityAddressCountryCode,CompetentAuthorityAddressCountryName,CompetentAuthorityTelephoneCommunication,CompetentAuthorityFaxCommunication,CompetentAuthorityEmailCommunication,CompetentAuthorityContactPersonName,ProductionVolumeProductName,ProductionVolumeQuantity,ProductionVolumeUnitCode,ProductionVolumeUnitName,TotalIPPCInstallationQuantity,OperatingHours,TotalEmployeeQuantity,WebsiteCommunication,PublicInformation,ConfidentialIndicator,ConfidentialityReasonCode,ConfidentialityReasonName,ProtectVoluntaryData,RemarkText,MainIASectorCode,MainIASectorName,MainIAActivityCode,MainIAActivityName,MainIASubActivityCode,MainIASubActivityName
10636,2,5749,1011010299,EVN AG,Kraftwerk Thei§,Ludwig Bruckner-Stra§e 1,,Gedersdorf,3494,AT,Austria,48.383333,15.7,AT1000,Danube,AT12,Lower Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
10637,2,5750,1011010302,EVN AG,Kraftwerk DŸrnrohr,Kraftwerksstra§e 1,,Zwentendorf an der Donau,3435,AT,Austria,48.316667,15.916667,AT1000,Danube,AT12,Lower Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
10652,2,5777,1014810386,Energie AG Oberšsterreich,Kraftwerk Riedersbach 1,Riedersbach 109,,St. Pantaleon,5120,AT,Austria,48.033333,12.833333,AT1000,Danube,AT31,Upper Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
10653,2,5778,1014810389,Energie AG Oberšsterreich,Kraftwerk Riedersbach 2,Riedersbach 109,,St. Pantaleon,5120,AT,Austria,48.033333,12.833333,AT1000,Danube,AT31,Upper Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
10654,2,5779,1014810391,Energie AG Oberšsterreich,Kraftwerk Timelkam II,MŸhlfeld 2,,Timelkam,4850,AT,Austria,48,13.583333,AT1000,Danube,AT31,Upper Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
10664,2,5806,1020010400,Linz AG,Fernheizkraftwerk Mitte,Nebingerstra§e 1,,"Linz, Donau Postfach",4021,AT,Austria,48.3,14.316667,AT1000,Danube,AT31,Upper Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
10665,2,5807,1020010404,Linz AG,Fernheizkraftwerk SŸd,Lunzerstra§e 90,,Linz,4030,AT,Austria,48.266667,14.35,AT1000,Danube,AT31,Upper Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
10705,2,5876,1038610359,Cogeneration-Kraftwerke Management O….,Cogeneration-Kraftwerke Management O….,Bšhmerwaldstrasse 3,,Linz,4020,AT,Austria,47.966667,13.816667,AT1000,Danube,AT31,Upper Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
10708,2,5880,1039210367,Verbund-Austrian Thermal Power GmbH & Co KG,Dampfkraftwerk Neudorf/Werndorf II,Weisseneggweg 1,,Werndorf,8402,AT,Austria,46.916667,15.483333,AT1000,Danube,AT22,Styria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
10716,2,5898,1042310418,UPM Kymmene Austria GmbH/SCA- Graphic-Laakirchen,EEVG,Fabriksplatz 1,,Laakirchen,4663,AT,Austria,47.983333,13.816667,AT1000,Danube,AT31,Upper Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
10721,2,5904,1043410448,Wienstrom GmbH,Fernheizwerk Leopoldau GuD,Thayagasse 1,,Wien,1210,AT,Austria,48.266667,16.433333,AT1000,Danube,AT13,Vienna,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
10722,2,5905,1043410633,Wienstrom GmbH,Kraftwerk Simmering Summe BKW 1 / 2 und BKW3,1.Haidequerstra§e 1,,Wien,1110,AT,Austria,48.166667,16.433333,AT1000,Danube,AT13,Vienna,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
10723,2,5906,1043410634,Wienstrom GmbH,"Kraftwerk Donaustadt Summe BKW 1, BKW 2 und BKW 3",Primavesigasse 1,,Wien,1220,AT,Austria,48.183333,16.45,AT1000,Danube,AT13,Vienna,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
10739,2,5938,1051010534,Verbund-Austrian Thermal Power GmbH & Co KG,"Dampfkraftwerk DŸrnrohr, Block 1",Kraftwerkstrasse 1,,Zwentendorf an der Donau,3435,AT,Austria,48.3,15.883333,AT1000,Danube,AT12,Lower Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
10740,2,5939,1051210537,Verbund-Austrian Thermal Power GmbH & Co KG,Dampfkraftwerk Voitsberg,Packerstrasse 12,,Voitsberg,8570,AT,Austria,47.033333,15.15,AT1000,Danube,AT22,Styria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
10743,2,5943,1051710538,Verbund-Austrian Thermal Power GmbH & Co KG,Fernheizkraftwerk Mellach,Weisseneggweg 1,,Wildon,8410,AT,Austria,46.933333,15.516667,AT1000,Danube,AT22,Styria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
10756,2,5970,1063910666,Fritz EGGER GmbH & CO Holzwerkstoffe Unterradlberg,Fritz EGGER GmbH & CO Holzwerkstoffe Unterradlberg,Tirolerstra§e 16,,St. Pšlten,3105,AT,Austria,48.25,15.666667,AT1000,Danube,AT12,Lower Austria,UNKNOWN,N/A,,,NACE_1.1:20.20,Manufacture of veneer sheets and of plywood and other panels & boards,Manufacture of veneer sheets and of plywood and other panels & boards,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
130,3,14827,vl01853961000505,Electrabel Verbrande Brug,Electrabel Verbrande Brug,"Willemsstraat (Jan Frans) 200 , Vilvoorde",,,1800,BE,Belgium,50.939253,4.269162,BESchelde_VL,Scheldt in Flanders,BE24,Flemish Brabant,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,BE,Belgium,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
154,3,14829,vl01853961001111,Electrabel Drogenbos,Electrabel Drogenbos,"Drie Fonteinenstraat z/n , Drogenbos",,,1620,BE,Belgium,50.804432,4.297818,BESchelde_VL,Scheldt in Flanders,BE24,Flemish Brabant,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,BE,Belgium,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
165,3,14834,vl01853961002222,Electrabel Herdersbrug,Electrabel Herdersbrug,"Pathoekeweg 300 , Brugge",,,8000,BE,Belgium,51.257209,3.208431,BESchelde_VL,Scheldt in Flanders,BE25,West Flanders,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,BE,Belgium,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
172,3,14830,vl01853961001515,Electrabel Langerlo,Electrabel Langerlo,"Swinnenwijerweg 30 , Genk",,,3600,BE,Belgium,50.934049,5.478405,BESchelde_VL,Scheldt in Flanders,BE22,Limburg,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,BE,Belgium,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
175,3,14835,vl01853961002424,Electrabel Langerbrugge,Electrabel Langerbrugge,"Langerbruggekaai 3 , Gent",,,9000,BE,Belgium,51.108417,3.740479,BESchelde_VL,Scheldt in Flanders,BE23,East Flanders,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,BE,Belgium,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
179,3,14751,vl01764822000339,S.P.E.-Ham,S.P.E.-Ham,"Ham 68 , Gent",,,9000,BE,Belgium,51.054409,3.726941,BESchelde_VL,Scheldt in Flanders,BE23,East Flanders,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,BE,Belgium,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
189,3,14750,vl01764822000238,S.P.E.-Ringvaart,S.P.E.-Ringvaart,"Buitenring-Wondelgem 10 , Gent",,,9000,BE,Belgium,51.099273,3.712049,BESchelde_VL,Scheldt in Flanders,BE23,East Flanders,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,BE,Belgium,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
199,3,14560,vl00057160000857,W.V.E.M. Harelbeke,W.V.E.M. Harelbeke,"Vaarnewijkstraat , Harelbeke",,,8530,BE,Belgium,50.862549,3.303406,BESchelde_VL,Scheldt in Flanders,BE25,West Flanders,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,BE,Belgium,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
201,3,14831,vl01853961001616,centrale Lillo,centrale Lillo,"Scheldelaan 420 , Antwerpen 4",,,2040,BE,Belgium,51.289842,4.31142,BESchelde_VL,Scheldt in Flanders,BE23,East Flanders,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,BE,Belgium,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
212,3,14836,vl01853961011518,Electrabel Kallo,Electrabel Kallo,"Kapeldijkstraat 40 , Beveren-Waas",,,9120,BE,Belgium,51.253872,4.282817,BESchelde_VL,Scheldt in Flanders,BE23,East Flanders,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,BE,Belgium,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
215,3,14828,vl01853961001010,Electrabel Ruien,Electrabel Ruien,"Herpelgem 18 , Kluisbergen",,,9690,BE,Belgium,50.783072,3.47538,BESchelde_VL,Scheldt in Flanders,BE25,West Flanders,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,BE,Belgium,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
238,3,14832,vl01853961001717,Electrabel Mol,Electrabel Mol,"Lichtstraat 55 , Mol",,,2400,BE,Belgium,51.21578,5.084354,BESchelde_VL,Scheldt in Flanders,BE21,Antwerpen,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,BE,Belgium,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
257,3,14579,vl00095623000124,Fluxys (compressiestation Weelde),Fluxys (compressiestation Weelde),"Kastanjedreef 1 , Weelde",,,2381,BE,Belgium,51.413594,5.073032,BEMaas_VL,Meuse in Flanders,BE21,Antwerpen,UNKNOWN,N/A,,,NACE_1.1:40.20,Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas; distribution of gaseous fuels through mains,Not transferred from EPER,,,,,BE,Belgium,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
268,3,14833,vl01853961001919,Electrabel Rodenhuize,Electrabel Rodenhuize,"Rodenhuizekaai 3 , Desteldonk",,,9042,BE,Belgium,51.126542,3.768806,BESchelde_VL,Scheldt in Flanders,BE23,East Flanders,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,BE,Belgium,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
